 Count File                       Function                                 Line
   193 ...anchor_topic_profile.jl choose_anchors_partial                     77
     1 ...anchor_topic_profile.jl choose_anchors_partial                     79
     1 ...anchor_topic_profile.jl choose_anchors_partial                     83
   445 ...anchor_topic_profile.jl choose_anchors_partial                     84
     1 ...anchor_topic_profile.jl choose_anchors_partial                     85
     7 ...anchor_topic_profile.jl choose_anchors_partial                     86
  8752 ...anchor_topic_profile.jl choose_anchors_partial                     87
    20 ...anchor_topic_profile.jl mine_topics                               484
    56 ...anchor_topic_profile.jl mine_topics                               486
  9667 ...anchor_topic_profile.jl mine_topics                               491
  3927 ...anchor_topic_profile.jl mine_topics                               494
    78 ...anchor_topic_profile.jl mine_topics                               500
   223 ...anchor_topic_profile.jl pcompute_A                                389
   113 ...anchor_topic_profile.jl pcompute_A                                391
     1 ...anchor_topic_profile.jl pcompute_A                                393
    81 ...anchor_topic_profile.jl pcompute_A                                411
  3491 ...anchor_topic_profile.jl pcompute_A                                415
    14 ...anchor_topic_profile.jl pcompute_A                                416
     1 ...anchor_topic_profile.jl pcompute_A                                426
     3 ...anchor_topic_profile.jl pcompute_A                                427
    42 abstractarray.jl           checkbounds                                65
     1 abstractarray.jl           copy!                                     148
     1 abstractarray.jl           copy!                                     149
    11 abstractarray.jl           copy!                                     206
    13 abstractarray.jl           copy!                                     209
    23 abstractarray.jl           copy!                                     210
    14 abstractarray.jl           copy!                                     212
    20 abstractarray.jl           copy!                                     214
  5172 abstractarray.jl           copy!                                     215
   688 abstractarray.jl           copy!                                     216
   498 abstractarray.jl           copy!                                     218
     8 abstractarray.jl           copy_transpose!                           224
    12 abstractarray.jl           copy_transpose!                           227
    19 abstractarray.jl           copy_transpose!                           228
    28 abstractarray.jl           copy_transpose!                           230
   182 abstractarray.jl           copy_transpose!                           233
    61 abstractarray.jl           copy_transpose!                           236
     1 abstractarray.jl           copy_transpose!                           238
    14 array.jl                   +                                         712
     2 array.jl                   -                                         712
     4 array.jl                   -                                         714
   181 array.jl                   .^                                        706
     1 array.jl                   fill!                                     143
    14 array.jl                   fill!                                     146
    15 array.jl                   fill!                                     147
     2 array.jl                   findmax                                  1125
    49 array.jl                   getindex                                  237
   100 array.jl                   reshape                                    91
     3 array.jl                   setindex!                                 298
     1 array.jl                   transpose!                               1258
     1 array.jl                   transpose!                               1262
   153 array.jl                   transpose!                               1263
    10 array.jl                   transpose!                               1265
     1 array.jl                   transpose                                1280
    11 io.jl                      read                                      118
     6 iobuffer.jl                read!                                      59
     6 iobuffer.jl                read_sub                                   50
    13 iobuffer.jl                write                                     198
     5 iobuffer.jl                write                                     201
    18 iobuffer.jl                write_sub                                 214
     1 linalg/dense.jl            vecnorm2                                   22
     1 linalg/generic.jl          vecnorm                                   134
   125 linalg/matmul.jl           *                                          68
  8738 linalg/matmul.jl           *                                         117
   101 linalg/matmul.jl           Ac_mul_B                                  102
     5 linalg/matmul.jl           copy!                                     293
  6434 linalg/matmul.jl           copy!                                     294
     1 linalg/matmul.jl           copy!                                     297
